Job_Title,Company,Job_Location,Job_Salary,Date Posted,Closing Date
"Associate- Asset, Liability & Capital Management Unit in Finance Division",MauBank Ltd,Plaine Wilhems,Negotiable,Added 21/08/2024,Closing 05/09/2024
Accounts Clerk,Ingenia Group,Port Louis,Not disclosed,Added 20/08/2024,Closing 19/09/2024
Reporting Specialist – Finance (Regulatory),Proactive Talent Solutions,Plaine Wilhems,Negotiable,Added 14/08/2024,Closing 13/09/2024
Relationship Manager (Assets),Proactive Talent Solutions,Port Louis,Negotiable,Added 14/08/2024,Closing 13/09/2024
Trust Accountant,Offshore Commercial Mauritius Limited,Pamplemousses,Not disclosed,Added 13/08/2024,Closing 12/09/2024
Client Manager - International Banking,MauBank Ltd,Plaine Wilhems,Negotiable,Added 12/08/2024,Closing 27/08/2024
Executive - Finance & Accounting,THOMAS COOK OPERATIONS CO LTD,Port Louis,"10,000 - 20,000",Added 12/08/2024,Closing 11/09/2024
ASSISTANT - SMALL AND MEDIUM ENTERPRISES (SME),Cim Financial Services Ltd,Mauritius,Negotiable,Added 09/08/2024,Closing 08/09/2024
Assistant - Compliance,Cim Financial Services Ltd,Port Louis,Negotiable,Added 09/08/2024,Closing 08/09/2024
Client Service Officer- Corporate / International Banking,MauBank Ltd,Plaine Wilhems,Negotiable,Added 07/08/2024,Closing 26/08/2024
Relationship Manager - Leasing,MauBank Ltd,Plaine Wilhems,Negotiable,Added 07/08/2024,Closing 26/08/2024
Project Coordinator – Digital Centre of Excellence,Cim Financial Services Ltd,Port Louis,Negotiable,Added 07/08/2024,Closing 06/09/2024
Treasury Assistant / Officer,First Capital Shared Services Ltd,Mauritius,Not disclosed,Added 06/08/2024,Closing 05/09/2024
Linux System Administrator,First Capital Shared Services Ltd,Mauritius,Not disclosed,Added 06/08/2024,Closing 05/09/2024
Call for applications - Fresh School Leavers & University Graduates,Absa Bank (Mauritius) Ltd,Moka,Not disclosed,Added 05/08/2024,Closing 04/09/2024
Microsoft Dynamics 365 Senior Developer,Hidden Company,Moka,Not disclosed,Added 05/08/2024,Closing 04/09/2024
Principal Systems Administrator,Cim Financial Services Ltd,Port Louis,Negotiable,Added 30/07/2024,Closing 29/08/2024
Analyst - Credit,Cim Financial Services Ltd,Port Louis,Negotiable,Added 30/07/2024,Closing 29/08/2024
T​E​L​L​E​R​S​,Shibani Finance Co Ltd,Mauritius,Negotiable,Added 30/07/2024,Closing 29/08/2024
Relationship Officer (Retail Banking) - (2430-RO),Alentaris Recruitment Ltd,Plaine Wilhems,Negotiable,Added 25/07/2024,Closing 24/08/2024
Marketing Officer (Global Business Branch) - (2430-MOGBB),Alentaris Recruitment Ltd,Plaine Wilhems,Negotiable,Added 25/07/2024,Closing 24/08/2024
Marketing Officer (Retail Banking) - (2430-MO),Alentaris Recruitment Ltd,Plaine Wilhems,Negotiable,Added 25/07/2024,Closing 24/08/2024
Collections and Recovery Agents,Cim Financial Services Ltd,Port Louis,Not disclosed,Added 23/07/2024,Closing 22/08/2024
Contrôleur de Gestion (2432-CA),Alentaris Recruitment Ltd,Plaine Wilhems,Negotiable,Added 20/08/2024,Closing 19/09/2024
Jardinier Potager,Eclosia Corporate Services,Moka,Not disclosed,Added 20/08/2024,Closing 19/09/2024
Admin Trainee,UBP Ltd,Black River,"10,000 - 20,000",Added 16/08/2024,Closing 30/08/2024
Technical Sales Representative – Irrigation - Blychem Ltd,IBL Commercial Engineering,Mauritius,Negotiable,Added 16/08/2024,Closing 15/09/2024
Workshop Admin Officer (2433-WAO),Alentaris Recruitment Ltd,Port Louis,Negotiable,Added 14/08/2024,Closing 13/09/2024
Vehicle Assistant,Medine Ltd Agriculture,Black River,Negotiable,Added 12/08/2024,Closing 11/09/2024
Delivery Drivers/Helpers,Medine Ltd Agriculture,Black River,Negotiable,Added 12/08/2024,Closing 11/09/2024
Payroll Officer (2432-PO),Alentaris Recruitment Ltd,Pamplemousses,"31,000 - 40,000",Added 08/08/2024,Closing 07/09/2024
Technical Sales Representative,Hidden Company,Mauritius,Not disclosed,Added 07/08/2024,Closing 06/09/2024
Accounts Officer (2422-AF),Alentaris Recruitment Ltd,Port Louis,Negotiable,Added 07/08/2024,Closing 06/09/2024
Agricultural Diversification Assistant,Saint Aubin Ltee,Savanne,Negotiable,Added 06/08/2024,Closing 05/09/2024
